Name,Points,Year,Position,Number,School,REC,YDS,TDS
Treyton Travis,25.5,SR,WR/CB,#24,Baxter,11.0,85.0,1.0
Jabari Woodbury,20.5,SR,,#2,GMG,9.0,55.0,1.0
Kace Patton,19.2,SR,WR/CB,#10,Murray,4.0,32.0,2.0
Callan Messerich,9.8,SO,WR/DB,#6,Easton Valley,6.0,38.0,0.0
Landon Blum,24.2,FR,WR/DB,#5,Woodbine,4.0,82.0,2.0
Wyatt Ragaller,13.3,SO,RB/DB,#8,Ar-We-Va,7.0,63.0,0.0
Grant Galles,4.8,SO,WR/DB,#6,St. Edmond,3.0,18.0,0.0
Devin Meyer,10.7,SR,TE/LB,#15,Harris-Lake Park,6.0,47.0,0.0
Nolan Birdsall,0.0,JR,RB/LB,#2,West Harrison/Whiting,0.0,0.0,0.0
Isaac Murphy,15.4,SR,RB/S,#1,GTRA,7.0,24.0,1.0
Garrett Watts,24.3,SR,WR/DB,#7,Montezuma,3.0,93.0,2.0
Dominic Coleman,22.0,SR,WR/DE,#23,BGM,3.0,130.0,1.0
Cade Robinson,1.5,JR,WR/CB,#12,Baxter,1.0,5.0,0.0
Josef Dvorak,4.8,JR,RB/DB,#25,Collins-Maxwell,2.0,28.0,0.0
Carter Seitz,20.8,JR,WR/DB,#7,Kee,5.0,98.0,1.0
Dakota Heishman,8.4,JR,WR/DB,#8,BGM,4.0,44.0,0.0
Mason Maschmann,18.9,SR,RB/LB,#11,BGM,4.0,89.0,1.0
Jamison Martin,0.0,JR,RB/DB,#11,West Harrison/Whiting,0.0,0.0,0.0
Cainan Travis,4.5,JR,WR/LB,#20,Baxter,3.0,15.0,0.0
Caleb Hemphill,14.8,SR,RB/LB,#3,Harris-Lake Park,5.0,38.0,1.0
Michael Hensley,5.3,JR,RB/LB,#6,Sidney,3.0,23.0,0.0
Triton Gwinn,26.6,SR,RB/LB,#22,Mormon Trail,9.0,116.0,1.0
Cal Heydon,6.9,SO,QB/DB,#11,Coon Rapids-Bayard,2.0,49.0,0.0
Jed Bielenberg,12.5,SR,DE/WR,#15,Siouxland Christian,3.0,35.0,1.0
Evan Lorenzen,1.2,JR,RB/DB,#22,Northwood-Kensett,1.0,2.0,0.0
Wade Ragaller,28.9,JR,RB/LB,#28,Ar-We-Va,6.0,109.0,2.0
Jackson Embree,0.0,JR,SL/LB,#33,East Mills,0.0,0.0,0.0
Dalton Weepie,4.7,JR,TE/LB,#33,Dunkerton,3.0,17.0,0.0
Wyatt Throckmorton,20.2,SR,WR/LB,#23,Moravia,4.0,102.0,1.0
Jaxson Schnell,7.9,SO,LB/WR,#4,GTRA,4.0,39.0,0.0
Micah Moores,2.4,FR,RB/LB,#9,Woodbine,1.0,14.0,0.0
Cash Emgarten,48.5,SR,WR/DB,#10,Exira-EHK,11.0,195.0,3.0
Owen Hammersland,6.8,FR,RB/LB,#24,Central Elkader,4.0,28.0,0.0
Jackson McDanel,13.0,SR,RB/LB,#30,Moravia,4.0,30.0,1.0
Brogan Ewing,0.0,JR,WR/CB,#10,Southeast Warren,0.0,0.0,0.0
Lucas Frohwein,2.9,SR,TE/DE,#9,Colo-Nesco,2.0,9.0,0.0
Aiden Eickert ,0.0,SO,WR/LB,#7,Easton Valley,0.0,0.0,0.0
Collin Bower,0.0,SO,TE/DB,#25,CAM,0.0,0.0,0.0
Rider Kupka,2.2,SO,,#21,GMG,2.0,2.0,0.0
Rason Grail,0.0,SR,WR/DB,#23,East Union,0.0,0.0,0.0
Jackson Schulte,18.5,SR,RB/LB,#21,Kee,6.0,65.0,1.0
Brayden Hepke,8.4,SR,WR/DB,#17,BGM,1.0,14.0,1.0
Tate Martin,4.9,JR,RB/LB,#33,BGM,2.0,29.0,0.0
Conner Bowers,18.2,JR,TE/CB,#21,Griswold,5.0,72.0,1.0
Hudson Clark,13.2,SO,WR/DB,#3,Gladbrook-Reinbeck,2.0,52.0,1.0
Cruz DeJong,7.9,SR,TE/LB,#40,Montezuma,3.0,49.0,0.0
Declan DeJong,6.7,SO,TE/DE,#41,Moravia,3.0,37.0,0.0
Caleb Haack,2.6,JR,WR/DB,#7,Iowa Valley,1.0,16.0,0.0
Drew Lappe,2.3,SR,WR/CB,#5,Bishop Garrigan,1.0,13.0,0.0
Drew Eilers,0.0,JR,WR/DL,#2,Gladbrook-Reinbeck,0.0,0.0,0.0
Harley Molina,14.5,SR,WR/LB,#24,Ar-We-Va,4.0,45.0,1.0
Kaden Kobliska,2.6,SR,WR,#8,Riceville,2.0,6.0,0.0
Jeremiah Marquette,1.4,SR,RB/LB,#25,Waterloo Christian,1.0,4.0,0.0
Lane Oswalt,3.9,SR,WR/DB,#87,Collins-Maxwell,2.0,19.0,0.0
Kolby Culbertson,0.0,SR,TE/DB,#2,Coon Rapids-Bayard,0.0,0.0,0.0
Jack Gordon,0.0,SR,WR/DL,#18,East Mills,0.0,0.0,0.0
Marshawn Taylor,0.0,SR,RB/CB,#12,Rockford,0.0,0.0,0.0
Alex Tiedemann,12.6,SO,QB/DB,#34,Northwood-Kensett,4.0,86.0,0.0
Keaton Harpenau,0.0,JR,SL/DB,#2,Remsen St. Mary's,0.0,0.0,0.0
Jack Follmann,9.3,SR,TE/LB,#40,CAM,1.0,23.0,1.0
Trevor Forey,0.0,SR,WR/S,#6,Janesville,0.0,0.0,0.0
Kaleb Gill,0.0,SR,,#1,GMG,0.0,0.0,0.0
James Bell,2.0,SR,WR/DB,#21,Waterloo Christian,1.0,10.0,0.0
Chase Klatt,0.0,SO,TE/CB,#4,Calamus-Wheatland,0.0,0.0,0.0
Reed Oswalt,5.6,SO,WR/DB,#24,Collins-Maxwell,2.0,36.0,0.0
Braxton Bormann,0.0,SO,RB/LB,#21,Central Elkader,0.0,0.0,0.0
Jeremiah Lynam,1.2,SR,DB/WR,#9,Siouxland Christian,1.0,2.0,0.0
Hayden Loftsgard,0.0,JR,WR/CB,#2,Tripoli,0.0,0.0,0.0
Kolt Payne,3.9,JR,SL/CB,#24,Sidney,2.0,19.0,0.0
Matt Sauer,1.3,SR,TE/DE,#82,Midland,1.0,3.0,0.0
Cael Weisskopf,3.8,FR,RB/LB,#5,HLV,2.0,18.0,0.0
Bram Bielenberg,2.9,FR,RB/LB,#35,Siouxland Christian,2.0,9.0,0.0
Colby Eskildsen,0.0,JR,TE/DL,#12,Northwood-Kensett,0.0,0.0,0.0
Robert Beardsley,8.2,JR,WR/DB,#18,Southeast Warren,5.0,32.0,0.0
Cam Buffington,0.0,SR,QB/LB,#33,Winfield-Mt Union,0.0,0.0,0.0
Devon Ehlers,1.7,SO,TE/LB,#88,Ar-We-Va,1.0,7.0,0.0
