Name,Year,Position,Number,School,YDS,TDS
Ty Alcott,JR,RB/DB,#24,Belle Plaine,534,6
Oliver Schmitt,SR,FB,#22,Turkey Valley,529,9
Shane Helmick,SR,QB/DE,#12,Moravia,383,5
Nolan Kriegel,FR,QB/DB,#2,Iowa Valley,440,7
Dane Appleby,JR,QB/LB,#4,Janesville,442,6
Kaiden Knaack,SR,,#10,Don Bosco,546,11
Colby Wallace,JR,QB/S,#11,Glidden-Ralston,353,8
Breckin Clatt,JR,RB/DB,#14,Colo-Nesco,620,12
Landon Montag,SR,RB/LB,#24,West Bend-Mallard,380,6
Myles Grove,SR,QB/LB,#10,English Valleys,544,8
Ambrose Savage,JR,QB/LB,#12,Lamoni,416,9
Judah Bielenberg,JR,QB/LB,#10,Siouxland Christian,126,2
Gavin Menke-Bailey,JR,QB/LB,#5,New London,267,2
Max Henstorf,SR,QB/LB,#7,HLV,101,1
Andrew Beran,JR,RB,#2,Riceville,347,5
Jameson Kilworth,SR,QB/DB,#8,Exira-EHK,339,7
Braxton Blackburn,SR,,#10,Fremont-Mills,364,4
MaKade Bloker,SR,RB/LB,#11,Clarksville,448,6
Pryce Rochford,JR,QB,#22,Edgewood-Colesburg,590,11
Aaron Olsen,JR,QB/S,#3,Audubon,319,4
Adam Scott,SR,RB/LB,#26,West Central,301,2
Gabe Funk,JR,QB/DB,#17,Lenox,437,10
Louden Huisenga,JR,RB/LB,#8,WACO,261,3
Fischer Buffington,JR,RB/DE,#12,East Union,290,2
Wyatt Oswald,JR,QB/LB,#10,Coon Rapids-Bayard,265,2
Brody Koch,SO,RB/LB,#5,Calamus-Wheatland,235,3
Isaac Murphy,SR,RB/S,#1,GTRA,267,7
Landon Lindgren,SO,RB/DB,#11,Lamoni,379,6
Kooper Julseth,JR,WR/LB,#1,Northwood-Kensett,227,3
Anthony Harrington,SO,QB/LB,#2,Midland,356,8
Cole Fehr,JR,RB/LB,#33,West Bend-Mallard,227,3
Mason McIntosh,SR,QB/LB,#16,West Harrison,198,3
Trey Fisher,JR,RB/LB,#89,Southeast Warren,319,7
Dawson Smith,SR,RB/LB,#20,Iowa Valley,324,7
Cooper Wierson,SO,QB/LB,#1,Collins-Maxwell,100,5
Luke Cripps,SR,QB/S,#1,Boyer Valley,381,6
Ethan Bockelman,SR,QB/DB,#22,Lone Tree,360,6
Michael Hensley,JR,RB/LB,#6,Sidney,322,5
Perrin Sulzle,JR,QB/LB,#7,Baxter,130,1
Ben Coffman,JR,RB/LB,#9,English Valleys,235,2
Kael Caikoski,SR,RB/LB,#22,Melcher-Dallas,75,2
Klay Baker,JR,RB/LB,#17,St. Edmond,233,5
Aiden Klostermann,SR,RB/S,#10,Central City,344,5
Caden Page,JR,QB/LB,#8,Murray,84,2
Jack Adams,JR,QB,#7,Riceville,239,3
Talan Pletz,SO,RB/LB,#5,Janesville,228,1
Mason Hoy,SO,RB/CB,#9,Springville,428,8
Emmett Snyder,SR,RB/S,#29,Glidden-Ralston,169,2
Clayton Miller,JR,QB/CB,#4,WACO,118,3
Cam Buffington,SR,QB/LB,#33,Winfield-Mt Union,394,5
Caleb Urban,JR,WR/CB,#3,East Mills,171,3
Brady Boulton,SO,QB/DB,#1,Montezuma,290,5
Broox Stockman,SO,RB/LB,#20,Montezuma,180,2
JT Laufersweiler,SR,QB/DB,#11,St. Edmond,169,3
Conlin Rouse,SO,RB/LB,#11,Springville,125,3
Garrison Motsinger,JR,RB/S,#4,Bedford,321,6
Luke Rohling,SR,FB/LB,#16,Calamus-Wheatland,153,2
Burke Busta,SR,FB,#9,Turkey Valley,161,2
Silas Walston,SR,RB/DE,#33,Bedford,250,4
Evan Alt,SR,RB/LB,#4,Audubon,317,7
Marshawn Taylor,SR,RB/CB,#12,Rockford,104,0
Jamison Ewing,SO,WR/CB,#8,Southeast Warren,391,8
Dalton Mudderman,JR,QB/LB,#5,Kee,259,8
Edde Gonzalez,SR,RB/LB,#1,West Central,156,5
Jackson McDanel,SR,RB/LB,#30,Moravia,164,1
Nolan Birdsall,JR,RB/LB,#2,West Harrison,145,3
Triton Gwinn,SR,RB/LB,#22,Mormon Trail,170,3
Brodie Ludwig,JR,RB/LB,#21,Woodbine,98,1
Wyatt Ragaller,SO,RB/DB,#8,Ar-We-Va,210,3
Seth Bixler,SR,WR/S,#1,Midland,250,3
Braden Jordan,SO,QB/LB,#10,Springville,158,1
Lucas Ahrenstorff,SR,QB/S,#1,Harris-Lake Park,233,6
Jordan Martin-England,JR,RB/LB,#18,Lenox,217,3
Grant Finck,JR,RB/LB,#10,Dunkerton,141,2
Brogyn Greensky,SR,QB/LB,#4,North Iowa,107,0
Conner Nally,SR,QB/LB,#5,Bedford,240,6
