Name,Year,Position,Number,School,YDS,TDS
Colby Wallace,JR,QB/S,#11,Glidden-Ralston,862,18
Aaron Olsen,JR,QB/S,#3,Audubon,832,13
Ty Alcott,JR,RB/DB,#24,Belle Plaine,756,9
Ambrose Savage,JR,QB/LB,#12,Lamoni,1040,20
Oliver Schmitt,SR,FB,#22,Turkey Valley,887,16
Andrew Beran,JR,RB,#2,Riceville,782,16
Dane Appleby,JR,QB/LB,#4,Janesville,906,8
Landon Montag,SR,RB/LB,#24,West Bend-Mallard,1005,18
Jameson Kilworth,SR,QB/DB,#8,Exira-EHK,791,11
Myles Grove,SR,QB/LB,#10,English Valleys,661,8
Judah Bielenberg,JR,QB/LB,#10,Siouxland Christian,304,7
Kaiden Knaack,SR,,#10,Don Bosco,1148,26
Breckin Clatt,JR,QB/DB,#14,Colo-Nesco,835,15
Ethan Bockelman,SR,QB/DB,#22,Lone Tree,931,17
Braxton Blackburn,SR,,#10,Fremont-Mills,949,17
Kooper Julseth,JR,WR/LB,#1,Northwood-Kensett,646,12
Landon Waldschmitt,JR,QB/DB,#7,Remsen St. Mary's,858,18
Nolan Kriegel,FR,QB/DB,#2,Iowa Valley,702,10
JT Laufersweiler,SR,QB/DB,#11,St. Edmond,558,10
Evan Alt,SR,RB/LB,#4,Audubon,877,15
Cole Fehr,JR,RB/LB,#33,West Bend-Mallard,670,12
Triton Gwinn,SR,RB/LB,#22,Mormon Trail,287,4
MaKade Bloker,SR,RB/LB,#11,Clarksville,1138,20
Adam Scott,SR,RB/LB,#26,West Central,492,2
Emmett Snyder,SR,RB/S,#29,Glidden-Ralston,544,6
Brody Koch,SO,RB/LB,#5,Calamus-Wheatland,479,6
Beau Burns,SO,QB/DB,#2,BGM,1085,16
Michael Hensley,JR,RB/LB,#6,Sidney,425,6
Kael Caikoski,SR,RB/LB,#22,Melcher-Dallas,240,5
Jamison Ewing,SO,WR/CB,#8,Southeast Warren,679,12
Gavin Menke-Bailey,JR,QB/LB,#5,New London,389,3
Nolan Gannon,FR,RB/LB,#34,Murray,525,9
Cooper Wierson,SO,QB/LB,#1,Collins-Maxwell,161,7
Maddox Jondle,JR,QB/LB,#11,Lone Tree,742,10
Josef Dvorak,JR,RB/DB,#25,Collins-Maxwell,522,7
Brogyn Greensky,SR,QB/LB,#4,North Iowa,457,3
Brady Boulton,SO,QB/DB,#1,Montezuma,652,15
Mason Hoy,SO,RB/CB,#9,Springville,730,13
Carson Ingles,SO,RB,#1,Edgewood-Colesburg,545,7
Wyatt Oswald,JR,QB/LB,#10,Coon Rapids-Bayard,427,3
Shane Helmick,SR,QB/DE,#12,Moravia,529,9
Landon Lindgren,SO,RB/DB,#11,Lamoni,485,7
Louden Huisenga,JR,RB/LB,#8,WACO,599,10
Dalton Mudderman,JR,QB/LB,#5,Kee,527,10
McKoy Nuss,SO,QB/LB,#13,Tripoli,380,6
Trey Fisher,JR,RB/LB,#89,Southeast Warren,502,9
Jack Adams,JR,QB,#7,Riceville,587,5
Brodie Ludwig,JR,RB/LB,#21,Woodbine,347,9
Max Henstorf,SR,QB/LB,#7,HLV,236,3
Cael Weisskopf,FR,RB/LB,#5,HLV,497,6
Gabe Funk,JR,QB/DB,#17,Lenox,720,17
Fischer Buffington,JR,RB/DE,#12,East Union,417,4
Luke Rohling,SR,FB/LB,#16,Calamus-Wheatland,251,3
Mark Bower,JR,RB/DB,#25,Colo-Nesco,569,7
Slate Witte,SR,,#7,GMG,425,7
Anthony Harrington,SO,QB/LB,#2,Midland,516,10
Trenton Struss,SR,RB/S,#21,Newell-Fonda,531,10
Lucas Ahrenstorff,SR,QB/S,#1,Harris-Lake Park,513,7
Mason McIntosh,SR,QB/LB,#16,West Harrison/Whiting,260,3
Dawson Smith,SR,RB/LB,#20,Iowa Valley,530,11
Chase Spieker,JR,QB/DB,#5,CAM,539,15
Pryce Rochford,JR,QB,#22,Edgewood-Colesburg,833,18
Perrin Sulzle,JR,QB/LB,#7,Baxter,258,3
Brett Plants,JR,RB/LB,#22,Montezuma,525,8
Sam Myer,JR,LB/RB,#33,St. Edmond,378,3
Carter Oberbroeckling,SR,RB,#34,Edgewood-Colesburg,565,7
Kasey Hough,JR,QB/S,#11,GTRA,385,7
Luke Cripps,SR,QB/S,#1,Boyer Valley,552,9
Edde Gonzalez,SR,RB/LB,#1,West Central,281,6
Wyatt Ragaller,SO,RB/DB,#8,Ar-We-Va,502,6
Caleb Hemphill,SR,RB/LB,#3,Harris-Lake Park,409,9
Owen Johnson,FR,RB/DE,#26,Griswold,334,3
Max Carlson,JR,QB/LB,#10,Newell-Fonda,512,5
Burke Busta,SR,FB,#9,Turkey Valley,376,6
Silas Walston,SR,RB/DE,#33,Bedford,546,15
Cam Buffington,SR,QB/LB,#33,Winfield-Mt Union,864,11
Ty Christensen,SO,,#5,Don Bosco,670,11
Jordan Martin-England,JR,RB/LB,#18,Lenox,724,9
Braden Jordan,SO,QB/LB,#10,Springville,303,2
Dalton Kitzman,SR,RB/LB,#4,Lenox,326,6
Nolan Birdsall,JR,RB/LB,#2,West Harrison/Whiting,245,4
Owen Garside,JR,S/QB,#3,Boyer Valley,490,14
Ben Coffman,JR,RB/LB,#9,English Valleys,308,2
Caden Page,JR,QB/LB,#8,Murray,184,6
Marshawn Taylor,SR,RB/CB,#12,Rockford,318,3
Carson Frerichs,SR,RB/LB,#28,North Iowa,157,1
Broox Stockman,SO,RB/LB,#20,Montezuma,251,2
Isaac Murphy,SR,RB/S,#1,GTRA,290,7
Caden Roethler,SR,FB/LB,#20,Bishop Garrigan,384,9
Owen Hammersland,FR,RB/LB,#24,Central Elkader,361,6
Degin Dixson,SR,QB/CB,#3,Mormon Trail,62,2
Caleb Urban,JR,WR/CB,#3,East Mills,202,4
Jackson McDanel,SR,RB/LB,#30,Moravia,412,6
Talan Pletz,SO,RB/LB,#5,Janesville,278,3
Aiden Klostermann,SR,RB/S,#10,Central City,509,9
Jacob Berens,SR,RB/LB,#34,Boyer Valley,299,4
Dane Ballou,FR,QB/LB,#17,Midland,303,5
Lane Vokoun,JR,RB/DB,#35,Belle Plaine,405,9
Cade Robinson,JR,WR/CB,#12,Baxter,286,2
Isaac Clark,SR,QB/LB,#12,Gladbrook-Reinbeck,354,9
Owen Backer,SO,RB/S,#22,Clarksville,884,16
Parker Hays,JR,RB/DB,#9,Coon Rapids-Bayard,142,1
Kale Doeppke,SR,WR/DB,#5,Central Elkader,20,0
Seth Bixler,SR,WR/S,#1,Midland,340,4
Jackson Schulte,SR,RB/LB,#21,Kee,354,5
Alex Daniel,SO,RB/LB,#27,Glidden-Ralston,198,1
Talan Driscoll,FR,RB/LB,#8,Easton Valley,178,5
Lucas Madison,SR,,#5,Fremont-Mills,257,4
Nathan Moon,FR,RB/LB,#6,Clarksville,301,1
Keaton Harpenau,JR,SL/DB,#2,Remsen St. Mary's,263,3
Klay Baker,JR,RB/LB,#17,St. Edmond,263,6
Conlin Rouse,SO,RB/LB,#11,Springville,190,4
Tate Foertsch,SO,QB/DB,#7,Bishop Garrigan,166,3
Clayton Miller,JR,QB/CB,#4,WACO,236,4
Kendrick Mastin,SR,RB/LB,#9,Murray,183,3
Sawyer Forney,SO,,#2,Fremont-Mills,200,1
Nolan Grebin,SR,QB/S,#2,Stanton/Essex,135,2
Christian Pierce,SO,QB/S,#4,Rockford,114,0
Brady Koenck,JR,RB/LB,#26,Remsen St. Mary's,260,4
Garrison Motsinger,JR,RB/S,#4,Bedford,424,9
Grant Whitehead,JR,QB/DB,#15,Sidney,200,2
Reece Chiabotta,SO,QB/DB,#34,Melcher-Dallas,88,0
Kyler Knaack,JR,,#20,Don Bosco,472,5
Dallas Smith,JR,QB/DB,#2,Twin Cedars,141,2
Blayne Smith,JR,QB/DB,#15,Ar-We-Va,106,6
Brody Paulsen,SR,RB/DB,#2,CAM,183,5
Austin Williams,SR,RB/LB,#20,CAM,320,4
Mason Steinhoff,SO,RB/LB,#11,Griswold,191,2
Eli Schmidt,SR,RB/S,#3,Clarksville,285,7
Grant Finck,JR,RB/LB,#10,Dunkerton,187,3
Cole Milks,SR,RB/S,#11,Winfield-Mt Union,371,12
Jacob Martin,JR,RB/LB,#3,Stanton/Essex,400,6
Brayden Svejda,JR,QB/CB,#1,Calamus-Wheatland,408,8
Conner Nally,SR,QB/LB,#5,Bedford,298,9
Brodyn Pryor,SO,QB/DB,#8,Woodbine,256,2
Austin Lack,SR,WR/DB,#3,East Union,165,2
Jayden Hanson,SR,QB/DB,#7,Central City,318,3
Wade Sankot,SO,RB/LB,#3,Belle Plaine,264,7
Jed Tyler,SR,QB/DB,#7,West Central,7,1
Jordan Goad,JR,QB/CB,#1,Springville,86,1
James Buhlman,FR,RB/LB,#27,Easton Valley,194,3
Caden Oswald,FR,RB/DB,#6,Coon Rapids-Bayard,340,8
Joe Koehler,SR,FB/DE,#24,Rockford,117,0
Graham Godsey,JR,RB/LB,#35,Bedford,198,1
Wade Ragaller,JR,RB/LB,#28,Ar-We-Va,198,1
Matthew Klostermann,JR,RB/LB,#22,Central City,490,8
Logan Grimm,SR,RB/LB,#34,West Bend-Mallard,183,6
Cainan Travis,JR,WR/LB,#20,Baxter,198,2
Simon Showalter,JR,RB/LB,#6,Stanton/Essex,99,2
Levi Reineke,SO,LB/RB,#29,Boyer Valley,186,1
Alex Hansen,JR,RB/LB,#22,Exira-EHK,420,9
Zane Johnson,JR,RB/LB,#7,Griswold,156,1
Evan Lorenzen,JR,RB/DB,#22,Northwood-Kensett,163,1
Deshon Anderson,SO,RB/LB,#32,English Valleys,184,3
Brenden Connett,SR,RB/LB,#20,Twin Cedars,78,1
Colin Snyder,SO,RB/LB,#24,Dunkerton,175,1
Ty Tauber,SR,OT/LB,#25,Newell-Fonda,308,7
Bryce Brabham,SO,RB/DB,#9,Exira-EHK,185,2
Austin Vaverka,SR,RB/LB,#5,Gladbrook-Reinbeck,280,9
Landon Gjerde,SO,RB/LB,#1,Colo-Nesco,264,5
Owen Murphy,JR,WR/S,#10,Bishop Garrigan,143,0
Seth Hudson,SR,QB/S,#7,East Union,70,3
Nate Curry,SR,RB/LB,#38,Twin Cedars,47,0
Trey Edeker,SO,RB/DE,#20,WACO,84,1
Logan French,SR,WR/DB,#1,Stanton/Essex,106,3
Reece Oswald,SR,RB/CB,#27,WACO,164,5
Kyle Boeckmann,JR,RB/LB,#8,Tripoli,154,1
Keagan Lee,SO,QB/DB,#17,Easton Valley,-46,0
Chase Klatt,SO,TE/CB,#4,Calamus-Wheatland,123,2
Dylan Marquart,JR,QB/DB,#3,Dunkerton,-8,3
Kinnick Henning,SO,RB/LB,#22,St. Edmond,166,1
Logan Busta,SO,QB/DB,#1,Turkey Valley,128,3
