Name,Year,Position,Number,School,YDS,TDS
Keeten Chenet,FR,RB/LB,#26,Twin Cedars,10,0
Johnny Resh,SR,TE/DL,#20,Stanton/Essex Vikings,-4,0
Nate Smith,JR,RB/DB,#21,Collins-Maxwell,3,0
Urijah Courter,FR,RB/DB,#10,Collins-Maxwell,2,0
Kolby Culbertson,SR,TE/DB,#2,Coon Rapids-Bayard,2,0
Trey Rosenbeck,SR,TE/LB,#3,Coon Rapids-Bayard,17,0
Ben Eslick,FR,TE/LB,#32,Mormon Trail,-1,0
Jiri Brodigan,SO,WR/LB,#32,East Mills,0,0
Trypp Roszell,JR,WR/DB,#18,Gladbrook-Reinbeck,6,1
Treyvon Herron,FR,WR/DB,#9,Gladbrook-Reinbeck,1,0
Jude Larson,FR,RB/LB,#1,Gladbrook-Reinbeck,5,0
Robert Brasel,SR,LB/RB,#22,Boyer Valley,5,0
Matt Ferguson,SR,OL/DL,#31,Boyer Valley,1,0
Camden Behrends,SO,QB/LB,#32,Clarksville,-2,0
Max Fettkether,SO,RB/LB,#20,Central Elkader,3,0
Mayson Hemsted,SO,WR/DB,#2,Lone Tree,4,0
Aidan Hesse,SO,OL/DL,#50,Dunkerton,-7,0
Waylon Hein,JR,TE/LB,#23,Glidden-Ralston,-1,0
Anthony Eisele,SR,OL/DL,#55,North Iowa,-12,0
Jeffery Gerber,SR,RB/LB,#20,North Iowa,6,0
Brody Greensky,FR,RB/LB,#8,North Iowa,4,0
Alex Black,SR,WR/DB,#30,Montezuma,0,0
Ryker Hoffman,JR,WR/CB,#2,Rockford,1,0
Carter Anderson,JR,QB/DB,#15,Northwood-Kensett,3,0
Landen Nelson,FR,WR/DB,#36,Northwood-Kensett,3,0
Matthew McDanel,SR,OG/DE,#44,Moravia,5,1
Cameron Nicoletto,SR,C/DT,#47,Moravia,20,1
Kale Moore,FR,QB/DB,#14,Moravia,0,0
Levi Halterman,JR,RB/LB,#11,Southeast Warren,4,0
Dawson Konrad,JR,RB/CB,#21,Southeast Warren,2,0
Kasen Churchill,SO,WR/CB,#17,Bedford,0,0
Cal Peterman,JR,WR/LB,#15,Bedford,1,0
Israel Valenzuela,FR,OG/DT,#8,Bedford,5,0
Jack Hogan,JR,,#37,Don Bosco,5,0
Jaedon Koppman,SO,,#35,Don Bosco,1,0
Dillon Reed,SO,WR/DB,#11,Woodbine,1,1
Micah Moores,FR,RB/LB,#9,Woodbine,9,0
Cal Pryor,FR,QB/DB,#12,Woodbine,0,0
Weston Toft,SO,OL/DL,#60,Ar-We-Va,5,0
Damon Thomsen,FR,FB/LB,#25,Ar-We-Va,49,1
Johnny Adams,JR,WR,#10,Riceville,-10,0
Reagan Richardson,FR,RB,#22,Riceville,5,0
Trevor Forey,SR,WR/S,#6,Janesville,6,0
Dawson Graham,JR,RB/LB,#8,Janesville,3,1
Caden Cole,SR,TE,#20,Edgewood-Colesburg,12,0
Jake Schilling,SR,OG,#72,Edgewood-Colesburg,3,0
Andrew Lichter,JR,RB/LB,#15,Bishop Garrigan,60,1
Carter McGregor,SO,RB/LB,#8,Bishop Garrigan,3,0
Drew Muller,JR,QB/DE,#6,Bishop Garrigan,-7,0
Brock Binkley,FR,QB/DB,#8,Lamoni,-3,0
Creyton Ogier,SR,TE/DE,#5,Lamoni,10,0
Justin Mendenhall,SO,DL,#40,Lamoni,5,0
Travis Luitjens,SR,OG/DT,#34,Harris-Lake Park,-5,0
Anthony Waters,SR,,#10,GMG,0,1
Charlie Rowenhorst,SR,K/RB,#3,Waterloo Christian,3,0
