Name,Year,Position,Number,School,YDS,TDS
Conner Nally,SR,QB/LB,#5,Bedford,292,8
Jordan Martin-England,JR,RB/LB,#18,Lenox,295,4
Kale Doeppke,SR,WR/DB,#5,Central Elkader,28,0
James Buhlman,FR,RB/LB,#27,Easton Valley,191,3
Parker Hays,JR,RB/DB,#9,Coon Rapids-Bayard,98,1
Jordan Goad,JR,QB/CB,#1,Springville,70,1
Eli Schmidt,SR,RB/S,#3,Clarksville,199,4
Graham Godsey,JR,RB/LB,#35,Bedford,152,1
Tate Foertsch,SO,QB/DB,#7,Bishop Garrigan,121,2
Talan Driscoll,FR,RB/LB,#8,Easton Valley,107,3
Grant Finck,JR,RB/LB,#10,Dunkerton,150,2
Carson Frerichs,SR,RB/LB,#28,North Iowa,96,1
Nathan Moon,FR,RB/LB,#6,Clarksville,172,0
Cole Milks,SR,RB/S,#11,Winfield-Mt Union,281,9
Blayne Smith,JR,QB/DB,#15,Ar-We-Va,82,6
Dalton Kitzman,SR,RB/LB,#4,Lenox,119,4
Logan French,SR,WR/DB,#1,Stanton/Essex Vikings,106,3
Alex Daniel,SO,RB/LB,#27,Glidden-Ralston,177,1
Logan Grimm,SR,RB/LB,#34,West Bend-Mallard,147,5
Mason Steinhoff,SO,RB/LB,#11,Griswold,108,1
Keaton Harpenau,JR,SL/DB,#2,Remsen St. Mary's,178,1
Brodyn Pryor,SO,QB/DB,#8,Woodbine,214,2
Seth Hudson,SR,QB/S,#7,East Union,58,3
Cainan Travis,JR,WR/LB,#20,Baxter,165,1
Sawyer Forney,SO,,#2,Fremont-Mills,114,1
Brody Paulsen,SR,RB/DB,#2,CAM,134,4
Caleb Hemphill,SR,RB/LB,#3,Harris-Lake Park,153,5
Austin Lack,SR,WR/DB,#3,East Union,125,2
Alex Hansen,JR,RB/LB,#22,Exira-EHK,265,6
Reece Chiabotta,SO,QB/DB,#34,Melcher-Dallas,100,0
Austin Williams,SR,RB/LB,#20,CAM,220,2
Cade Robinson,JR,WR/CB,#12,Baxter,101,1
Isaac Clark,SR,QB/LB,#12,Gladbrook-Reinbeck,156,4
Jacob Berens,SR,RB/LB,#34,Boyer Valley,134,1
Jed Tyler,SR,QB/DB,#7,West Central,14,0
Ty Tauber,SR,OT/LB,#25,Newell-Fonda,225,6
Braxton Bormann,SO,RB/LB,#21,Central Elkader,41,1
Lucas Madison,SR,,#5,Fremont-Mills,179,3
Wade Ragaller,JR,RB/LB,#28,Ar-We-Va,133,1
Jayden Hanson,SR,QB/DB,#7,Central City,192,3
Wade Sankot,SO,RB/LB,#3,Belle Plaine,222,6
Deshon Anderson,SO,RB/LB,#32,English Valleys,141,2
Owen Hammersland,FR,RB/LB,#24,Central Elkader,203,5
Wyatt Nelson,JR,RB/DB,#9,West Central,183,3
Brayden Svejda,JR,QB/CB,#1,Calamus-Wheatland,239,5
Caden Oswald,FR,RB/DB,#6,Coon Rapids-Bayard,105,4
Owen Garside,JR,S/QB,#3,Boyer Valley,252,7
Levi Reineke,SO,LB/RB,#29,Boyer Valley,122,1
Joe Koehler,SR,FB/DE,#24,Rockford,62,0
Kyle Boeckmann,JR,RB/LB,#8,Tripoli,89,0
Owen Murphy,JR,WR/S,#10,Bishop Garrigan,74,0
Dylan Marquart,JR,QB/DB,#3,Dunkerton,29,3
Trey Edeker,SO,RB/DE,#20,WACO,48,0
Hunter Hardin,JR,RB/LB,#36,Colo-Nesco,90,0
Hayden Loftsgard,JR,WR/CB,#2,Tripoli,55,1
Isaac Hill,SO,OL/DL,#60,Springville,75,1
London Franklin,SO,RB/DE,#6,New London,60,0
Corbin Jacobs-Jewell,JR,TE/DE,#10,New London,11,0
Derek Bartlett,SR,LB/RB,#4,Stanton/Essex Vikings,121,3
Chase Klatt,SO,TE/CB,#4,Calamus-Wheatland,107,2
Drew Stanek,JR,RB/LB,#16,Gladbrook-Reinbeck,85,0
Evan Lorenzen,JR,RB/DB,#22,Northwood-Kensett,54,0
Reece Oswald,SR,RB/CB,#27,WACO,115,4
Kinnick Henning,SO,RB/LB,#22,St. Edmond,136,1
Keagan Lee,SO,QB/DB,#17,Easton Valley,-57,0
Matthew Klostermann,JR,RB/LB,#22,Central City,151,3
Ty Lindquist,JR,FB/LB,#18,Dunkerton,234,2
Jake Edwards,JR,QB/S,#3,Winfield-Mt Union,29,1
Carson Wessel,SO,QB/LB,#9,Audubon,63,1
Cannon Hansen,JR,TE/DL,#33,Exira-EHK,88,1
Bryce Brabham,SO,RB/DB,#9,Exira-EHK,106,1
Logan Busta,SO,QB/DB,#1,Turkey Valley,97,3
Rogellio Gonzalez,SO,FB/DB,#10,West Central,80,0
Brady Koenck,JR,RB/LB,#26,Remsen St. Mary's,51,1
