Name,Year,Position,Number,School,YDS,TDS
Colby Wallace,JR,QB/S,#11,Glidden-Ralston,714,15
Aaron Olsen,JR,QB/S,#3,Audubon,707,11
Ambrose Savage,JR,QB/LB,#12,Lamoni,1017,20
Andrew Beran,JR,RB,#2,Riceville,698,13
Oliver Schmitt,SR,FB,#22,Turkey Valley,817,15
Ty Alcott,JR,RB/DB,#24,Belle Plaine,662,9
Landon Montag,SR,RB/LB,#24,West Bend-Mallard,782,12
Jameson Kilworth,SR,QB/DB,#8,Exira-EHK,651,10
Judah Bielenberg,JR,QB/LB,#10,Siouxland Christian,301,7
Dane Appleby,JR,QB/LB,#4,Janesville,665,7
Myles Grove,SR,QB/LB,#10,English Valleys,595,8
MaKade Bloker,SR,RB/LB,#11,Clarksville,1138,20
Adam Scott,SR,RB/LB,#26,West Central,492,2
Kooper Julseth,JR,WR/LB,#1,Northwood-Kensett,656,12
Breckin Clatt,JR,QB/DB,#14,Colo-Nesco,767,15
Nolan Kriegel,FR,QB/DB,#2,Iowa Valley,592,8
Evan Alt,SR,RB/LB,#4,Audubon,834,14
Cole Fehr,JR,RB/LB,#33,West Bend-Mallard,536,11
Ethan Bockelman,SR,QB/DB,#22,Lone Tree,910,16
Kaiden Knaack,SR,,#10,Don Bosco,829,18
Gavin Menke-Bailey,JR,QB/LB,#5,New London,389,3
Nolan Gannon,FR,RB/LB,#34,Murray,525,9
Kael Caikoski,SR,RB/LB,#22,Melcher-Dallas,243,5
Beau Burns,SO,QB/DB,#2,BGM,882,13
Braxton Blackburn,SR,,#10,Fremont-Mills,812,15
Brody Koch,SO,RB/LB,#5,Calamus-Wheatland,404,5
Cooper Wierson,SO,QB/LB,#1,Collins-Maxwell,179,7
Wyatt Oswald,JR,QB/LB,#10,Coon Rapids-Bayard,427,3
JT Laufersweiler,SR,QB/DB,#11,St. Edmond,445,7
Triton Gwinn,SR,RB/LB,#22,Mormon Trail,253,4
Landon Lindgren,SO,RB/DB,#11,Lamoni,483,7
Shane Helmick,SR,QB/DE,#12,Moravia,457,7
Maddox Jondle,JR,QB/LB,#11,Lone Tree,708,10
Emmett Snyder,SR,RB/S,#29,Glidden-Ralston,460,5
Louden Huisenga,JR,RB/LB,#8,WACO,567,9
McKoy Nuss,SO,QB/LB,#13,Tripoli,380,6
Michael Hensley,JR,RB/LB,#6,Sidney,396,6
Dalton Mudderman,JR,QB/LB,#5,Kee,497,10
Brogyn Greensky,SR,QB/LB,#4,North Iowa,428,3
Brady Boulton,SO,QB/DB,#1,Montezuma,579,12
Landon Waldschmitt,JR,QB/DB,#7,Remsen St. Mary's,531,11
Fischer Buffington,JR,RB/DE,#12,East Union,417,4
Anthony Harrington,SO,QB/LB,#2,Midland,516,10
Jamison Ewing,SO,WR/CB,#8,Southeast Warren,601,12
Brodie Ludwig,JR,RB/LB,#21,Woodbine,342,9
Perrin Sulzle,JR,QB/LB,#7,Baxter,258,3
Trey Fisher,JR,RB/LB,#89,Southeast Warren,467,9
Mason Hoy,SO,RB/CB,#9,Springville,614,11
Jack Adams,JR,QB,#7,Riceville,432,4
Kasey Hough,JR,QB/S,#11,GTRA,385,7
Carson Ingles,SO,RB,#1,Edgewood-Colesburg,469,6
Luke Cripps,SR,QB/S,#1,Boyer Valley,552,9
Lucas Ahrenstorff,SR,QB/S,#1,Harris-Lake Park,446,6
Gabe Funk,JR,QB/DB,#17,Lenox,497,12
Max Carlson,JR,QB/LB,#10,Newell-Fonda,512,5
Luke Rohling,SR,FB/LB,#16,Calamus-Wheatland,217,3
Josef Dvorak,JR,RB/DB,#25,Collins-Maxwell,445,6
Cam Buffington,SR,QB/LB,#33,Winfield-Mt Union,864,11
Pryce Rochford,JR,QB,#22,Edgewood-Colesburg,671,13
Dawson Smith,SR,RB/LB,#20,Iowa Valley,442,9
Trenton Struss,SR,RB/S,#21,Newell-Fonda,410,7
Owen Johnson,FR,RB/DE,#26,Griswold,288,3
Burke Busta,SR,FB,#9,Turkey Valley,367,6
Chase Spieker,JR,QB/DB,#5,CAM,463,13
Max Henstorf,SR,QB/LB,#7,HLV,101,1
Nolan Birdsall,JR,RB/LB,#2,West Harrison/Whiting,243,4
Mason McIntosh,SR,QB/LB,#16,West Harrison/Whiting,235,3
Slate Witte,SR,,#7,GMG,295,7
Caden Page,JR,QB/LB,#8,Murray,184,6
Brett Plants,JR,RB/LB,#22,Montezuma,461,8
Isaac Murphy,SR,RB/S,#1,GTRA,290,7
Caleb Hemphill,SR,RB/LB,#3,Harris-Lake Park,337,8
Mark Bower,JR,RB/DB,#25,Colo-Nesco,429,4
Wyatt Ragaller,SO,RB/DB,#8,Ar-We-Va,463,6
Caleb Urban,JR,WR/CB,#3,East Mills,202,4
Silas Walston,SR,RB/DE,#33,Bedford,458,11
Jordan Martin-England,JR,RB/LB,#18,Lenox,591,8
Broox Stockman,SO,RB/LB,#20,Montezuma,232,2
Degin Dixson,SR,QB/CB,#3,Mormon Trail,61,2
Braden Jordan,SO,QB/LB,#10,Springville,221,1
Carter Oberbroeckling,SR,RB,#34,Edgewood-Colesburg,434,7
Ben Coffman,JR,RB/LB,#9,English Valleys,273,2
