Week,Opponent,Home/Away,Status
1,Ian,Home,TBD
2,Brayden,Away,TBD
3,Luke,Away,TBD
4,Brandon,Home,TBD
5,Brayden,Away,TBD
6,Landon,Away,TBD
7,Zane,Home,TBD
8,Bransen,Home,TBD
