Week,Opponent,Home/Away,Status
1,Brayden,Home,Won
2,Brandon,Home,Lost
3,Zane,Away,Won
4,Luke,Away,Tie
5,Brandon,Away,TBD
6,Ian,Home,TBD
7,Landon,Away,TBD
8,Jesse,Away,TBD
