Week,Opponent,Home/Away,Status
1,Bransen,Away,TBD
2,Cameron,Home,TBD
3,Landon,Away,TBD
4,Zane,Home,TBD
5,Cameron,Home,TBD
6,Luke,Home,TBD
7,Ian,Away,TBD
8,Brandon,Away,TBD
