Week,Opponent,Home/Away,Status
1,Zane,Home,Tied
2,Landon,Away,TBD
3,Jesse,Home,TBD
4,Bransen,Home,TBD
5,Ian,Away,TBD
6,Brayden,Away,TBD
7,Brandon,Away,TBD
8,Zane,Away,TBD
