Week,Opponent,Home/Away,Status
1,Jesse,Away,Lost
2,Zane,Home,Won
3,Brandon,Away,Lost
4,Landon,Home,Lost
5,Luke,Home,Losing
6,Bransen,Away,TBD
7,Brayden,Home,TBD
8,Landon,Away,TBD
