Week,Opponent,Home/Away,Status
1,Brandon,Away,Won
2,Luke,Home,TBD
3,Brayden,Home,TBD
4,Ian,Away,TBD
5,Zane,Away,TBD
6,Jesse,Home,TBD
7,Bransen,Home,TBD
8,Ian,Home,TBD
