Week,Opponent,Home/Away,Status
1,Landon,Home,Lost
2,Bransen,Away,Won
3,Ian,Home,Won
4,Jesse,Away,Tie
5,Bransen,Home,TBD
6,Zane,Away,TBD
7,Luke,Home,TBD
8,Brayden,Home,TBD
